quantized_time,X_1_0,Y_1_0,Z_1_0,X_1_1,Y_1_1,Z_1_1,X_1_2,Y_1_2,Z_1_2,X_1_3,Y_1_3,Z_1_3,X_1_4,Y_1_4,Z_1_4,X_1_5,Y_1_5,Z_1_5
1627878903.264,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.328,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.392,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.456,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.520,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.584,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.648,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.712,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.776,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.840,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.904,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878903.968,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878904.032,,,,,,,,,,0.0,0.0,0.0,,,,,,
1627878904.096,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627878904.160,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627878904.224,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627878904.288,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627878904.352,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627878904.416,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627878904.480,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1627878904.544,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878904.608,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878904.672,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878904.736,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878904.800,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878904.864,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878904.928,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878904.992,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878905.056,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878905.120,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627878905.184,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
