quantized_time,X_1_0,Y_1_0,Z_1_0,X_1_1,Y_1_1,Z_1_1,X_1_2,Y_1_2,Z_1_2,X_1_3,Y_1_3,Z_1_3,X_1_4,Y_1_4,Z_1_4,X_1_5,Y_1_5,Z_1_5
1627566303.264,,,,,,,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.328,,,,,,,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.392,,,,,,,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.456,,,,,,,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.520,,,,,,,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.584,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.648,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.712,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.776,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.840,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.904,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566303.968,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.5,0.162,0.851,0.0,0.0,0.0
1627566304.032,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.49950000000000006,0.162,0.851,0.0,0.0,0.0
1627566304.096,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.49900000000000005,0.162,0.851,0.0,0.0,0.0
1627566304.160,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.49900000000000005,0.16137500000000002,0.851,0.0,0.0,0.0
