quantized_time,X_2_0,Y_2_0,Z_2_0,X_2_1,Y_2_1,Z_2_1,X_2_2,Y_2_2,Z_2_2,X_2_3,Y_2_3,Z_2_3,X_2_4,Y_2_4,Z_2_4,X_2_5,Y_2_5,Z_2_5
1627879680.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44337499999999996,-0.30225,0.843875,0.0,0.0,0.0
1627879680.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44487499999999996,-0.301125,0.843625,0.0,0.0,0.0
1627879680.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44499999999999995,-0.29975,0.8440000000000001,0.0,0.0,0.0
1627879680.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44499999999999995,-0.29800000000000004,0.8446249999999998,0.0,0.0,0.0
1627879680.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44449999999999995,-0.29724999999999996,0.8449999999999999,0.0,0.0,0.0
1627879680.320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44512500000000005,-0.29612499999999997,0.8449999999999999,0.0,0.0,0.0
1627879680.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4457500000000001,-0.29575,0.8449999999999999,0.0,0.0,0.0
1627879680.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44499999999999995,-0.29462499999999997,0.8455,0.0,0.0,0.0
1627879680.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446375,-0.29412499999999997,0.8451249999999998,0.0,0.0,0.0
1627879680.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,-0.293875,0.8449999999999999,0.0,0.0,0.0
1627879680.640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,-0.292875,0.8449999999999999,0.0,0.0,0.0
1627879680.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44662500000000005,-0.292875,0.8454999999999999,0.0,0.0,0.0
1627879680.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447875,-0.2925,0.8449999999999999,0.0,0.0,0.0
1627879680.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,-0.29124999999999995,0.8449999999999999,0.0,0.0,0.0
1627879680.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44750000000000006,-0.28975,0.84625,0.0,0.0,0.0
1627879680.960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44675000000000004,-0.289,0.8469999999999998,0.0,0.0,0.0
1627879681.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44737499999999997,-0.289,0.8465,0.0,0.0,0.0
1627879681.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447875,-0.28874999999999995,0.846125,0.0,0.0,0.0
1627879681.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44787499999999997,-0.288625,0.846125,0.0,0.0,0.0
1627879681.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44837499999999997,-0.29012499999999997,0.8454999999999999,0.0,0.0,0.0
1627879681.280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45075000000000004,-0.29074999999999995,0.8440000000000001,0.0,0.0,0.0
1627879681.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45225,-0.291,0.8431249999999999,0.0,0.0,0.0
1627879681.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45574999999999993,-0.291,0.841125,0.0,0.0,0.0
1627879681.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458875,-0.29162499999999997,0.8393750000000001,0.0,0.0,0.0
1627879681.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46175000000000005,-0.291875,0.8376249999999998,0.0,0.0,0.0
1627879681.600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46449999999999997,-0.292,0.83625,0.0,0.0,0.0
1627879681.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467375,-0.292,0.8344999999999998,0.0,0.0,0.0
1627879681.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47124999999999995,-0.292,0.8319999999999999,0.0,0.0,0.0
1627879681.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475375,-0.29162499999999997,0.83,0.0,0.0,0.0
1627879681.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4785,-0.291,0.8283750000000001,0.0,0.0,0.0
1627879681.920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48137500000000005,-0.29000000000000004,0.827,0.0,0.0,0.0
1627879681.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48362499999999997,-0.289,0.8261249999999999,0.0,0.0,0.0
1627879682.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48787499999999995,-0.289,0.82375,0.0,0.0,0.0
1627879682.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49100000000000005,-0.28887499999999994,0.8218749999999999,0.0,0.0,0.0
1627879682.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49387500000000006,-0.287875,0.8203750000000001,0.0,0.0,0.0
1627879682.240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496625,-0.28674999999999995,0.819125,0.0,0.0,0.0
1627879682.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49974999999999997,-0.28625,0.8173750000000001,0.0,0.0,0.0
1627879682.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50275,-0.286,0.81575,0.0,0.0,0.0
1627879682.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057500000000001,-0.285875,0.814,0.0,0.0,0.0
1627879682.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,-0.285,0.812625,0.0,0.0,0.0
1627879682.560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511,-0.284375,0.811375,0.0,0.0,0.0
1627879682.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142500000000001,-0.284125,0.809,0.0,0.0,0.0
1627879682.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516875,-0.284,0.8075000000000002,0.0,0.0,0.0
1627879682.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52025,-0.28312499999999996,0.8056249999999999,0.0,0.0,0.0
1627879682.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5228750000000001,-0.280875,0.80475,0.0,0.0,0.0
1627879682.880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525125,-0.28062500000000007,0.803375,0.0,0.0,0.0
1627879682.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5271250000000001,-0.280125,0.8023750000000001,0.0,0.0,0.0
1627879683.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295,-0.28075000000000006,0.800375,0.0,0.0,0.0
1627879683.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532625,-0.28,0.7985,0.0,0.0,0.0
1627879683.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5355000000000001,-0.28075000000000006,0.7966250000000001,0.0,0.0,0.0
1627879683.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5378750000000001,-0.28125000000000006,0.7946250000000001,0.0,0.0,0.0
1627879683.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540375,-0.28125000000000006,0.793,0.0,0.0,0.0
1627879683.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5426250000000001,-0.2808750000000001,0.7916250000000001,0.0,0.0,0.0
1627879683.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545125,-0.281625,0.78975,0.0,0.0,0.0
1627879683.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468750000000001,-0.281875,0.7883750000000002,0.0,0.0,0.0
1627879683.520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548875,-0.28274999999999995,0.7867499999999998,0.0,0.0,0.0
1627879683.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511250000000001,-0.28287499999999993,0.785,0.0,0.0,0.0
