quantized_time,X_0_0,Y_0_0,Z_0_0,X_0_1,Y_0_1,Z_0_1,X_0_2,Y_0_2,Z_0_2,X_0_3,Y_0_3,Z_0_3,X_0_4,Y_0_4,Z_0_4,X_0_5,Y_0_5,Z_0_5
1627878903.264,,,,,,,,,,0.0,0.466,0.8850000000000001,,,,,,
1627878903.328,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.392,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.456,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.520,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.584,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.648,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.712,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.776,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.840,,,,,,,,,,0.0,0.4660000000000001,0.8849999999999999,,,,,,
1627878903.904,,,,,,,,,,0.0,0.46549999999999997,0.8849999999999999,,,,,,
1627878903.968,,,,,,,,,,0.0,0.46499999999999997,0.8849999999999999,,,,,,
1627878904.032,,,,,,,,,,0.0,0.46499999999999997,0.8849999999999999,,,,,,
1627878904.096,,,,,,,,,,0.0,0.46499999999999997,0.8849999999999999,0.081,-0.223,0.971,,,
1627878904.160,,,,,,,,,,0.0,0.46499999999999997,0.8849999999999999,0.081,-0.22300000000000003,0.971,,,
1627878904.224,,,,,,,,,,0.00025,0.46499999999999997,0.8849999999999999,0.081,-0.22300000000000003,0.971,,,
1627878904.288,,,,,,,,,,0.001,0.46499999999999997,0.8849999999999999,0.081,-0.22300000000000003,0.971,,,
1627878904.352,,,,,,,,,,0.001,0.46499999999999997,0.8849999999999999,0.081,-0.22300000000000003,0.971,,,
1627878904.416,-0.584,-0.46499999999999997,0.666,,,,,,,0.001,0.46499999999999997,0.8851249999999999,0.081,-0.22300000000000003,0.971,,,
1627878904.480,-0.584,-0.46499999999999997,0.666,,,,,,,0.001,0.46425,0.886,0.081,-0.22300000000000003,0.971,,,
1627878904.544,-0.584,-0.46499999999999997,0.666,,,,,,,0.0018750000000000001,0.464,0.886,0.081,-0.22300000000000003,0.971,0.12,-0.506,0.854
1627878904.608,-0.584,-0.46499999999999997,0.666,,,,,,,0.002,0.464,0.886,0.081,-0.22300000000000003,0.971,0.12,-0.5060000000000001,0.854
1627878904.672,-0.584,-0.46499999999999997,0.666,,,,,,,0.00275,0.46325000000000005,0.886,0.081,-0.22300000000000003,0.971,0.12,-0.5060000000000001,0.854
1627878904.736,-0.584,-0.46499999999999997,0.666,,,,,,,0.0031249999999999997,0.463,0.886,0.081,-0.22300000000000003,0.971,0.12,-0.5060000000000001,0.854
1627878904.800,-0.584,-0.46499999999999997,0.666,,,,,,,0.004,0.4622500000000001,0.8870000000000002,0.081,-0.22300000000000003,0.971,0.12,-0.5060000000000001,0.854
1627878904.864,-0.584,-0.46499999999999997,0.666,,,,,,,0.004,0.4620000000000001,0.8870000000000002,0.081,-0.22375,0.971,0.12,-0.5060000000000001,0.854
1627878904.928,-0.584,-0.46499999999999997,0.666,,,,,,,0.005,0.46124999999999994,0.8870000000000002,0.081,-0.224,0.971,0.12,-0.5060000000000001,0.854
1627878904.992,-0.584,-0.46499999999999997,0.666,,,,,,,0.005624999999999999,0.460375,0.887875,0.0815,-0.224,0.971,0.12,-0.5060000000000001,0.854
1627878905.056,-0.584,-0.46499999999999997,0.666,,,,,,,0.006625,0.46,0.888,0.082,-0.224,0.971,0.12,-0.5060000000000001,0.854
1627878905.120,-0.584,-0.46499999999999997,0.666,,,,,,,0.007875,0.459,0.888,0.082,-0.224,0.971,0.12,-0.5060000000000001,0.854
1627878905.184,-0.584,-0.46499999999999997,0.665875,,,,,,,0.008375,0.45875000000000005,0.8890000000000001,0.082625,-0.224,0.971,0.12,-0.5060000000000001,0.854
1627878905.248,-0.584,-0.46499999999999997,0.665,,,,,,,0.009625,0.4580000000000001,0.8890000000000001,0.083,-0.224,0.971,0.12,-0.5060000000000001,0.854
1627878905.312,-0.584,-0.46499999999999997,0.665,,,,,,,0.010374999999999999,0.457375,0.8890000000000001,0.08362499999999999,-0.224,0.971,0.12,-0.50525,0.854
