quantized_time,X_1_0,Y_1_0,Z_1_0,X_1_1,Y_1_1,Z_1_1,X_1_2,Y_1_2,Z_1_2,X_1_3,Y_1_3,Z_1_3,X_1_4,Y_1_4,Z_1_4,X_1_5,Y_1_5,Z_1_5
1627879680.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.09212499999999998,0.9009999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,0.09324999999999999,0.9009999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42262500000000003,0.09349999999999999,0.9012499999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423125,0.09574999999999999,0.9009999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42374999999999996,0.09737499999999999,0.9005000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42437499999999995,0.09837499999999999,0.9001250000000002,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42537500000000006,0.10087499999999999,0.89925,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42650000000000005,0.102875,0.89875,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42675,0.104375,0.8982499999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42662500000000003,0.105375,0.8979999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.1055,0.8979999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42650000000000005,0.104875,0.8979999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.105,0.8979999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42737499999999995,0.10525,0.8979999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1627879680.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427875,0.104875,0.8979999999999999,0.0,0.0,0.0,0.0,0.0,0.0
