quantized_time,X_0_0,Y_0_0,Z_0_0,X_0_1,Y_0_1,Z_0_1,X_0_2,Y_0_2,Z_0_2,X_0_3,Y_0_3,Z_0_3,X_0_4,Y_0_4,Z_0_4,X_0_5,Y_0_5,Z_0_5
1627879680.000,-0.3365,-0.6727500000000001,0.6588750000000001,0.47900000000000004,0.17824999999999996,0.8596250000000001,-0.22500000000000003,-0.37075,0.9009999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.131,-0.39525,0.9089999999999999
1627879680.064,-0.336625,-0.67325,0.6582500000000001,0.479875,0.17750000000000002,0.8591249999999999,-0.22512500000000002,-0.369,0.90175,0.0,0.0,0.0,0.0,0.0,0.0,-0.131,-0.395,0.9089999999999999
1627879680.128,-0.33549999999999996,-0.6743750000000002,0.657625,0.4804999999999999,0.176875,0.859,-0.22637500000000005,-0.36787499999999995,0.9017499999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.13037500000000002,-0.394625,0.909125
1627879680.192,-0.336,-0.674,0.6577500000000001,0.4805,0.17700000000000002,0.859,-0.22700000000000004,-0.37175,0.9001250000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.13037500000000002,-0.392875,0.9101250000000001
1627879680.256,-0.33525,-0.6741250000000001,0.6585,0.48,0.17675,0.859125,-0.226625,-0.37375,0.8992500000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.131,-0.39437500000000003,0.9095
1627879680.320,-0.3345,-0.674875,0.657625,0.4805,0.17624999999999996,0.859,-0.22687500000000005,-0.372875,0.8998750000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.131625,-0.395,0.9089999999999999
1627879680.384,-0.33325000000000005,-0.674625,0.65875,0.48025,0.17587499999999998,0.8593750000000001,-0.225875,-0.37412500000000004,0.8993750000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.13075,-0.394,0.9095000000000001
1627879680.448,-0.333125,-0.6740000000000002,0.65925,0.4804999999999999,0.17575,0.8591249999999999,-0.22500000000000003,-0.37675000000000003,0.8984999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.12987500000000002,-0.393,0.91025
1627879680.512,-0.33337500000000003,-0.673625,0.6593750000000002,0.481375,0.17475,0.859,-0.22587500000000002,-0.37712499999999993,0.8979999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.12975,-0.393,0.91
1627879680.576,-0.334875,-0.6749999999999999,0.65725,0.48087499999999994,0.17562499999999998,0.859,-0.22737500000000002,-0.3776250000000001,0.8975000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.13025,-0.3940000000000001,0.91
